sensor_id,hour,lat,lon,lux_avg,lux_norm,light_risk
OC3CL200064,5,37.5439816,126.8693788,0.0,0.0,1.0
OC3CL200064,6,37.5439816,126.8693788,11809.9375,1.0,0.0
OC3CL200064,7,37.5439816,126.8693788,45660.9375,1.0,0.0
OC3CL200064,8,37.5439816,126.8693788,34242.34375,1.0,0.0
OC3CL200064,9,37.5439816,126.8693788,18604.030303030304,1.0,0.0
OC3CL200064,10,37.5439816,126.8693788,17680.303030303032,1.0,0.0
OC3CL200064,11,37.5439816,126.8693788,21479.0,1.0,0.0
OC3CL200064,12,37.5439816,126.8693788,13474.424242424242,1.0,0.0
OC3CL200064,13,37.5439816,126.8693788,10985.848484848484,1.0,0.0
OC3CL200064,14,37.5439816,126.8693788,18807.0,1.0,0.0
OC3CL200064,15,37.5439816,126.8693788,21193.25,1.0,0.0
OC3CL200064,16,37.5439816,126.8693788,12492.181818181818,1.0,0.0
OC3CL200064,17,37.5439816,126.8693788,11133.848484848484,1.0,0.0
OC3CL200064,18,37.5439816,126.8693788,11753.0,1.0,0.0
OC3CL200064,19,37.5439816,126.8693788,20503.40625,1.0,0.0
OC3CL200064,20,37.5439816,126.8693788,7382.060606060606,1.0,0.0
OC3CL200064,21,37.5439816,126.8693788,0.0,0.0,1.0
OC3CL200064,22,37.5439816,126.8693788,0.0,0.0,1.0
OC3CL200064,23,37.5439816,126.8693788,33.27272727272727,1.0,0.0
OC3CL200065,0,37.43431809,127.0113387,0.0,0.0,1.0
OC3CL200065,1,37.43431809,127.0113387,0.0,0.0,1.0
OC3CL200065,2,37.43431809,127.0113387,0.0,0.0,1.0
OC3CL200065,3,37.43431809,127.0113387,0.0,0.0,1.0
OC3CL200065,4,37.43431809,127.0113387,0.0,0.0,1.0
OC3CL200065,5,37.43431809,127.0113387,0.0,0.0,1.0
OC3CL200065,6,37.43431809,127.0113387,40.583333333333336,1.0,0.0
OC3CL200065,7,37.43431809,127.0113387,1117.0,1.0,0.0
OC3CL200065,8,37.43431809,127.0113387,3567.9166666666665,1.0,0.0
OC3CL200065,9,37.43431809,127.0113387,4170.416666666667,1.0,0.0
